name,model,version,year,km,city,province,price
Chevrolet,Corsa Hatchback,5P 1.4L,2003,332000 km,Quito | ,Pichincha,u$s6.800
Nissan,Tiida Sedan,Advance,2009,174500 km,Guayaquil | ,Guayas,u$s8.500
Kia,Picanto,1.2L R,2020,29999 km,Guayaquil | ,Guayas,u$s12.900
Hyundai,Tucson,4x2 Ac Aut,2007,250000 km,Quito | ,Pichincha,u$s10.900
Chevrolet,Tracker,LS,2014,185000 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s15.800
Nissan,Sentra,Sentra Aut,2006,20000 km,Guayaquil | ,Guayas,u$s4.500
Jeep,Grand Cherokee,Limited 4x4 Aut,1995,265000 km,Loja | ,Loja,u$s5.500
Renault,Sandero,1.6L Expression,2015,103000 km,Cuenca | ,Azuay,u$s9.900
Kia,Picanto,1.2L R,2020,71680 km,Guayaquil | ,Guayas,u$s12.800
Kia,Sportage,2.0L TM,2006,290000 km,Quito | ,Pichincha,u$s10.000
Hyundai,Sonata Híbrido,GL Aut Full equipo,2017,58700 km,Guayaquil | ,Guayas,u$s22.500
Chevrolet,Grand Vitara,5P V6 Ac Aut,2003,176369 km,Quito | ,Pichincha,u$s9.000
Great Wall,Wingle 5,2.2L C/D,2019,78000 km,Guayaquil | ,Guayas,u$s16.200
Chevrolet,Trooper,5P 4X4 TM AA,1991,865768 km,Quito | ,Pichincha,u$s4.560
Skoda,Felicia,"Glx A-A L4,1.6 S 2 1",1995,320000 km,Ambato | ,Tungurahua,u$s5.800
Renault,Logan,Familier,2011,419000 km,Guayaquil | ,Guayas,u$s6.500
Chevrolet,Silverado,4x2 T-A AA,1994,340000 km,Guayaquil | ,Guayas,u$s5.200
Kia,Óptima,2.0 Hibrido,2018,95274 km,Esmeraldas | ,Esmeraldas,u$s23.750
Ford,F150,3.5L XL 4x4 CS,2018,60000 km,Guayaquil | ,Guayas,u$s53.500
