name,year,km,price
"
                        Chevrolet Tracker LS                    ",2018,   41000 Kms. · Manta                 ,"
                         20.300
                        "
"
                        Ford Escape                    ",2018,   36000 Kms. · Manta                 ,"
                         24.122
                        "
"
                        Mazda CX-5                    ",2022,   29000 Kms. · Manta                 ,"
                         36.500
                        "
"
                        Kia Sportage Active                    ",2011,   190000 Kms. · Manta                 ,"
                         12.600
                        "
"
                        Chevrolet Grand Vitara 5P 4X4                    ",2004,   230000 Kms. · Manta                 ,"
                         12.300
                        "
"
                        Toyota Hilux CD 4x4 Diesel                    ",2019,   90000 Kms. · Manta                 ,"
                         48.000
                        "
"
                        Toyota Fortuner 2.7                    ",2018,   56000 Kms. · Manta                 ,"
                         42.000
                        "
"
                        Zxauto Terralord                    ",2022,   11000 Kms. · Manta                 ,"
                         30.900
                        "
"
                        Ford Explorer XLT                    ",2017,   43095 Kms. · Manta                 ,"
                         50.600
                        "
"
                        Kia Sportage LX                    ",2013,   186749 Kms. · Manta                 ,"
                         16.000
                        "
"
                        Ford Edge                    ",2013,   150000 Kms. · Manta                 ,"
                         22.000
                        "
"
                        Honda CR-V                    ",2003,   207000 Kms. · Manta                 ,"
                         10.500
                        "
"
                        Nissan X-Trail                    ",2015,   150000 Kms. · Manta                 ,"
                         16.500
                        "
"
                        Great Wall HAVAL H6 SUPREME                    ",2023,   6191 Kms. · Manta                 ,"
                         37.000
                        "
"
                        Kia Carnival                    ",2016,   103000 Kms. · Manta                 ,"
                         31.500
                        "
"
                        Ford Explorer XLT                    ",2016,   89 Kms. · Manta                 ,"
                         43.000
                        "
"
                        Ford Explorer Sport 4X4                    ",2014,   152000 Kms. · Manta                 ,"
                         29.900
                        "
"
                        Citroen C5 Aircross                    ",2020,   32000 Kms. · Manta                 ,"
                         37.000
                        "
"
                        Toyota 4 Runner                    ",1990,   338000 Kms. · Manta                 ,"
                         15.000
                        "
"
                        Chevrolet Grand Vitara SZ 2.4                    ",2015,   93000 Kms. · Manta                 ,"
                         16.000
                        "
"
                        Mazda BT-50 CD 4x2                    ",2011,   150000 Kms. · Manta                 ,"
                         13.900
                        "
"
                        Toyota Hilux CS 4x2                    ",2011,   400000 Kms. · Manta                 ,"
                         18.000
                        "
"
                        Chevrolet TrailBlazer DSL LTZ TA 2.8                    ",2019,   115000 Kms. · Manta                 ,"
                         43.500
                        "
"
                        Hyundai Accent                    ",2016,   15000 Kms. · Manta                 ,"
                         16.500
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2013,   133000 Kms. · Manta                 ,"
                         13.500
                        "
"
                        BMW ACTIVE 5 HYBRID                    ",2014,   29611 Kms. · Quito                 ,"
                         47.900
                        "
"
                        Chevrolet Tracker LS                    ",2022,   13259 Kms. · Quito                 ,"
                         24.250
                        "
"
                        Kia Sportage                    ",2002,   280000 Kms. · Quito                 ,"
                         5.900
                        "
"
                        Peugeot 407                    ",2006,   200000 Kms. · Quito                 ,"
                         7.600
                        "
"
                        Chevrolet Trailblazer                    ",2018,   50000 Kms. · Quito                 ,"
                         42.900
                        "
"
                        Ford F150 Lariat                    ",2018,   98000 Kms. · Quito                 ,"
                         61.900
                        "
"
                        Chevrolet Cheyenne                    ",1997,   200000 Kms. · Quito                 ,"
                         8.900
                        "
"
                        Volvo S60                    ",2020,   10400 Kms. · Quito                 ,"
                         47.900
                        "
"
                        Renault Duster 1.6                    ",2015,   180668 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Mazda 2                    ",2020,   31256 Kms. · Quito                 ,"
                         17.800
                        "
